Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2/28/19,33021,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,Hollywood,591,1806,0.002776235,0.023809524,0.037931034,19963
2/28/19,80016,CO,Denver-Aurora-Lakewood,Arapahoe County,Aurora,592,2605,-0.004965623,-0.016610042,-0.024344569,16097
2/28/19,96815,HI,Urban Honolulu,Honolulu County,Honolulu,593,2212,0.004541326,0.029795158,0.024074074,25789
2/28/19,89147,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,594,1372,0.007342144,0.040971168,0.063565891,17757
2/28/19,78253,TX,San Antonio-New Braunfels,Bexar County,San Antonio,595,1590,0,0.008883249,0.006329114,14631
2/28/19,29588,SC,Myrtle Beach-Conway-North Myrtle Beach,Horry County,Socastee,596,1361,0.00147167,0.010393467,0.015671642,15349
2/28/19,59102,MT,Billings,Yellowstone County,Billings,597,1286,0.003120125,0.021445592,-0.011529593,16382
2/28/19,33324,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,Plantation,598,1775,0.003391747,0.026011561,0.042278332,19249
2/28/19,92562,CA,Riverside-San Bernardino-Ontario,Riverside County,Murrieta,599,2215,0.002262443,0.018859246,0.032634033,18380
2/28/19,2780,MA,Providence-Warwick,Bristol County,Taunton,600,1665,0,0.004221954,0.003616637,14050
2/28/19,63301,MO,St. Louis,Saint Charles County,Saint Charles,601,1349,0.002973978,0.025855513,0.024297646,16271
2/28/19,43302,OH,Marion,Marion County,Marion,602,807,0.00498132,0.017654477,0.02022756,19883
2/28/19,79424,TX,Lubbock,Lubbock County,Lubbock,603,1495,0.001339585,-0.007304117,-0.001336005,15325
2/28/19,22192,VA,Washington-Arlington-Alexandria,Prince William County,Woodbridge,604,1948,0.001027749,0.025803054,0.030142782,18654
2/28/19,29483,SC,Charleston-North Charleston,Dorchester County,Summerville,605,1443,0.001387925,0.011212334,0.033667622,22914
2/28/19,34668,FL,Tampa-St. Petersburg-Clearwater,Pasco County,Port Richey,606,1055,0.003805899,0.020309478,0.068895643,18898
2/28/19,76137,TX,Dallas-Fort Worth-Arlington,Tarrant County,Fort Worth,607,1569,0.002555911,0.015533981,0.021484375,14885
2/28/19,22201,VA,Washington-Arlington-Alexandria,Arlington County,Arlington,608,2714,0.002585888,0.019917324,0.022607385,11145
2/28/19,30067,GA,Atlanta-Sandy Springs-Roswell,Cobb County,Marietta,609,1553,0.001289491,0.002582311,0.03740815,10920
2/28/19,92117,CA,San Diego-Carlsbad,San Diego County,San Diego,610,2810,0.001782531,0.019593614,0.028927133,16118
2/28/19,60004,IL,Chicago-Naperville-Elgin,Cook County,Arlington Heights,611,2098,-0.00190295,-0.004271476,0.001431981,18670
2/28/19,47130,IN,Louisville/Jefferson County,Clark County,Jeffersonville,612,1003,-0.00199005,0,-0.015701668,29249
2/28/19,85201,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,613,1295,0.004654771,0.044354839,0.058006536,11887
2/28/19,17601,PA,Lancaster,Lancaster County,Manheim,614,1360,0.002949853,0.016442451,0.028744327,16242
2/28/19,28025,NC,Charlotte-Concord-Gastonia,Cabarrus County,Concord,615,1245,0.003223207,0.022167488,0.043587594,20517
2/28/19,83709,ID,Boise City,Ada County,Boise,616,1403,0.006456241,0.036954915,0.058069382,9319
2/28/19,8527,NJ,New York-Newark-Jersey City,Ocean County,Jackson,617,2162,0.00371402,0.023189778,0.023674242,18383
2/28/19,48038,MI,Detroit-Warren-Dearborn,Macomb County,Clinton,618,1425,0.008492569,0.050884956,0.057906459,16262
2/28/19,94806,CA,San Francisco-Oakland-Hayward,Contra Costa County,San Pablo,619,2557,0.001174628,0.026907631,0.051398026,13773
2/28/19,80219,CO,Denver-Aurora-Lakewood,Denver County,Denver,620,1823,0.001098298,0.00829646,0.033446712,16321
2/28/19,48066,MI,Detroit-Warren-Dearborn,Macomb County,Roseville,621,1083,0.006505576,0.048402711,0.049418605,18282
2/28/19,19711,DE,Philadelphia-Camden-Wilmington,New Castle County,Newark,622,1743,0,0.005190311,0.014551804,15170
2/28/19,92128,CA,San Diego-Carlsbad,San Diego County,San Diego,623,2716,0.004809471,0.021820918,0.043411448,18217
2/28/19,19144,PA,Philadelphia-Camden-Wilmington,Philadelphia County,Philadelphia,624,1242,0.003231018,0.02306425,0.013877551,11307
